id,submission_time,view_number,vote_number,title,message,image
17,1643294116,3,1,kjuziououiouiouioui,asdasdasda,02my7u1op1c81.jpg
16,1643294068,3,0,kjuziououiouiouioui,asdasdasda,0
15,1643293632,2,0,durva kelk,"kl,éá,,hljkndtgzdbvshrvgcsdf",0
13,1643216156,6,0,sdfgvbzbeghrstvghberstvdhbtrfdrthbtitle,uijfhmnafhijknvcshjnikasfcvihjnksfvdchjnksdfvcghjnksdfgvhjn,0
12,1643214919,2,0,titleasdasasdsadasd,Text hereasdasdasdasd,insert-image-funny-dog.jpg
11,1643205161,1,0,title,Text here,0
10,1643192500,1,0,565,4645656,0
9,1643131402,0,0,title,Text here,0
8,1643124710,4,1,Jinj2 problemz,Jinja2 not working plz heeeeelp,250478154_10226247385274764_2585792232334092657_n.jpg
7,1643123105,2,-1,titulus,"asdaklsjdklaglorsvmijkmljagvrsjikmluagvrujikmlargvkljimoargvikmljargvcjimlkoarcgvsijlmkafgklmv,afgjklmnsv íadfgjkmnvaertgvhijklrtyeghijklmnu.dftbcgvxy -ydrtgbcfkvx cdfgrtvxybjkn redtcfghjklmnvxy ,.rcdefgtvxy hijklmnu,.Text here",0
1,1493368154,29,7,How to make lists in Python?,"I am totally new to this, any hints?",0
